,13391_bright_pixels,13391_bright_columns,13391_dark_pixels,13391_dark_columns,13401_bright_pixels,13401_bright_columns,13401_dark_pixels,13401_dark_columns,13505_bright_pixels,13505_bright_columns,13505_dark_pixels,13505_dark_columns,13550_bright_pixels,13550_bright_columns,13550_dark_pixels,13550_dark_columns,DetectorNumber,Manufacturer,Raft
R01_S00,4322.0,598.0,124707.0,38.0,4514.0,563.0,124470.0,29.0,4504.0,564.0,158858.0,29.0,4605.0,559.0,159121.0,30.0,0,ITL,R01
R01_S01,39.0,0.0,37210.0,0.0,33.0,0.0,36403.0,0.0,34.0,0.0,33269.0,0.0,34.0,0.0,33255.0,0.0,1,ITL,R01
R01_S02,16.0,0.0,31327.0,0.0,11.0,0.0,31398.0,0.0,14.0,0.0,31398.0,0.0,14.0,0.0,31264.0,0.0,2,ITL,R01
R01_S10,278.0,14.0,21998.0,0.0,241.0,14.0,22361.0,0.0,332.0,10.0,22092.0,0.0,335.0,10.0,22106.0,0.0,3,ITL,R01
R01_S11,35.0,4.0,24776.0,0.0,28.0,4.0,24805.0,0.0,29.0,4.0,24793.0,0.0,29.0,4.0,24798.0,0.0,4,ITL,R01
R01_S12,39.0,1.0,21212.0,0.0,29.0,1.0,21632.0,0.0,39.0,1.0,21478.0,0.0,40.0,1.0,21462.0,0.0,5,ITL,R01
R01_S20,272.0,6.0,24387.0,0.0,28.0,0.0,24422.0,0.0,25.0,0.0,24407.0,0.0,25.0,0.0,24411.0,0.0,6,ITL,R01
R01_S21,93.0,2.0,20264.0,0.0,90.0,1.0,21031.0,0.0,64.0,2.0,20740.0,0.0,69.0,2.0,20763.0,0.0,7,ITL,R01
R01_S22,26.0,0.0,25018.0,0.0,21.0,0.0,25048.0,0.0,22.0,0.0,25027.0,0.0,22.0,0.0,25031.0,0.0,8,ITL,R01
R02_S00,46.0,0.0,24428.0,3.0,33.0,0.0,24496.0,2.0,38.0,0.0,24520.0,2.0,38.0,0.0,24524.0,2.0,9,ITL,R02
R02_S01,126.0,0.0,24355.0,0.0,86.0,0.0,24392.0,0.0,107.0,0.0,24369.0,0.0,109.0,0.0,24376.0,0.0,10,ITL,R02
R02_S02,164.0,0.0,24305.0,0.0,121.0,0.0,24355.0,0.0,136.0,0.0,24369.0,0.0,139.0,0.0,24368.0,0.0,11,ITL,R02
R02_S10,17.0,0.0,24192.0,0.0,14.0,0.0,24246.0,0.0,11.0,0.0,24251.0,0.0,10.0,0.0,24242.0,0.0,12,ITL,R02
R02_S11,56.0,4.0,24597.0,0.0,59.0,2.0,24637.0,0.0,64.0,2.0,24764.0,0.0,66.0,2.0,24799.0,0.0,13,ITL,R02
R02_S12,27.0,0.0,24390.0,0.0,20.0,0.0,24429.0,0.0,23.0,0.0,24403.0,0.0,24.0,0.0,24403.0,0.0,14,ITL,R02
R02_S20,238.0,7.0,20206.0,1.0,249.0,7.0,20597.0,1.0,254.0,7.0,20397.0,1.0,254.0,7.0,20374.0,1.0,15,ITL,R02
R02_S21,38.0,1.0,24304.0,0.0,31.0,1.0,24319.0,0.0,31.0,1.0,24320.0,0.0,30.0,1.0,24316.0,0.0,16,ITL,R02
R02_S22,424.0,4.0,21571.0,0.0,301.0,4.0,22022.0,0.0,349.0,4.0,22214.0,0.0,347.0,4.0,22203.0,0.0,17,ITL,R02
R03_S00,25.0,0.0,18503.0,0.0,25.0,0.0,18565.0,0.0,27.0,0.0,17776.0,0.0,27.0,0.0,17811.0,0.0,18,ITL,R03
R03_S01,24.0,0.0,18080.0,0.0,20.0,0.0,18102.0,0.0,19.0,0.0,17511.0,0.0,19.0,0.0,17524.0,0.0,19,ITL,R03
R03_S02,69.0,2.0,112998.0,0.0,61.0,2.0,113002.0,0.0,81.0,2.0,99423.0,0.0,82.0,2.0,99425.0,0.0,20,ITL,R03
R03_S10,83.0,0.0,17213.0,0.0,71.0,0.0,17241.0,0.0,85.0,0.0,17367.0,0.0,88.0,0.0,17355.0,0.0,21,ITL,R03
R03_S11,8.0,0.0,17029.0,0.0,8.0,0.0,16979.0,0.0,7.0,0.0,16418.0,0.0,7.0,0.0,16411.0,0.0,22,ITL,R03
R03_S12,17.0,0.0,17295.0,0.0,16.0,0.0,17397.0,0.0,17.0,0.0,17378.0,0.0,17.0,0.0,17356.0,0.0,23,ITL,R03
R03_S20,47.0,0.0,23885.0,1.0,43.0,0.0,24038.0,1.0,45.0,0.0,24493.0,1.0,45.0,0.0,24482.0,1.0,24,ITL,R03
R03_S21,14.0,1.0,16392.0,1.0,14.0,1.0,16408.0,1.0,17.0,1.0,16374.0,1.0,17.0,1.0,16367.0,1.0,25,ITL,R03
R03_S22,31.0,3.0,16875.0,1.0,31.0,3.0,16877.0,0.0,32.0,3.0,16875.0,0.0,32.0,3.0,16878.0,0.0,26,ITL,R03
R10_S00,34.0,0.0,116341.0,0.0,27.0,0.0,116374.0,0.0,25.0,0.0,169553.0,0.0,25.0,0.0,169577.0,0.0,27,ITL,R10
R10_S01,32.0,0.0,16621.0,0.0,25.0,0.0,16660.0,0.0,24.0,0.0,19816.0,0.0,24.0,0.0,19827.0,0.0,28,ITL,R10
